广东省茂名市酒店 移动,#genre#
卡酷动画,http://183.234.143.5:85/tsfile/live/1119_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://183.234.143.5:85/tsfile/live/1120_1.m3u8?key=txiptv&playlive=1&authid=0
CETV1,http://183.234.143.5:85/tsfile/live/1122_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育卫视,http://183.234.143.5:85/tsfile/live/1123_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV法制,http://183.234.143.5:85/tsfile/live/1132_1.m3u8?key=txiptv&playlive=1&authid=0
IPTV经典电影,http://183.234.143.5:85/tsfile/live/1133_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://183.234.143.5:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://183.234.143.5:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://183.234.143.5:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://183.234.143.5:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://183.234.143.5:85/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://183.234.143.5:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台,http://183.234.143.5:85/tsfile/live/1077_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://183.234.143.5:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰台,http://183.234.143.5:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东省揭阳市酒店 电信,#genre#
CCTV-1高清,http://113.64.147.252:8081/hls/138/index.m3u8
CCTV-2高清,http://113.64.147.252:8081/hls/2/index.m3u8
CCTV-3高清,http://113.64.147.252:8081/hls/3/index.m3u8
CCTV-4高清,http://113.64.147.252:8081/hls/4/index.m3u8
CCTV-5高清,http://113.64.147.252:8081/hls/5/index.m3u8
CCTV-6高清,http://113.64.147.252:8081/hls/6/index.m3u8
CCTV-7高清,http://113.64.147.252:8081/hls/7/index.m3u8
CCTV-8高清,http://113.64.147.252:8081/hls/8/index.m3u8
CCTV-9高清,http://113.64.147.252:8081/hls/9/index.m3u8
CCTV-10高清,http://113.64.147.252:8081/hls/10/index.m3u8
CCTV-11,http://113.64.147.252:8081/hls/11/index.m3u8
CCTV-12高清,http://113.64.147.252:8081/hls/12/index.m3u8
CCTV-13,http://113.64.147.252:8081/hls/13/index.m3u8
CCTV-14,http://113.64.147.252:8081/hls/14/index.m3u8
CCTV-15高清,http://113.64.147.252:8081/hls/15/index.m3u8
CCTV5+高清,http://113.64.147.252:8081/hls/16/index.m3u8
CCTV-17,http://113.64.147.252:8081/hls/17/index.m3u8
南山有线,http://113.64.147.252:8081/hls/18/index.m3u8
揭西台,http://113.64.147.252:8081/hls/19/index.m3u8
本港台,http://113.64.147.252:8081/hls/135/index.m3u8
揭阳公共,http://113.64.147.252:8081/hls/22/index.m3u8
揭阳综合,http://113.64.147.252:8081/hls/21/index.m3u8
潮州综合,http://113.64.147.252:8081/hls/23/index.m3u8
汕头台,http://113.64.147.252:8081/hls/24/index.m3u8
翡翠台,http://113.64.147.252:8081/hls/25/index.m3u8
明珠台,http://113.64.147.252:8081/hls/26/index.m3u8
广东公共,http://113.64.147.252:8081/hls/27/index.m3u8
广东体育高清,http://113.64.147.252:8081/hls/1/index.m3u8
广东新闻,http://113.64.147.252:8081/hls/28/index.m3u8
经济科教,http://113.64.147.252:8081/hls/29/index.m3u8
南方都市,http://113.64.147.252:8081/hls/30/index.m3u8
广东影视,http://113.64.147.252:8081/hls/31/index.m3u8
广东少儿,http://113.64.147.252:8081/hls/32/index.m3u8
动作电影,http://113.64.147.252:8081/hls/34/index.m3u8
家庭影院,http://113.64.147.252:8081/hls/35/index.m3u8
凤凰资讯高清,http://113.64.147.252:8081/hls/36/index.m3u8
凤凰卫视高清,http://113.64.147.252:8081/hls/37/index.m3u8
