央视,#genre#
AXNTaiwan,http://free.cnlive.club/channel/n4e27c899/index.m3u8?q=36.44.99.42
HBO_HD,http://free.cnlive.club/channel/2d329e1c/index.m3u8?q=36.44.99.42
HBO_HITS,http://free.cnlive.club/channel/n54fc5ba0/index.m3u8?q=36.44.99.42
CINEMAX,http://free.cnlive.club/channel/7c7a1311/index.m3u8?q=36.44.99.42
好萊塢電影台,http://free.cnlive.club/channel/n2db95de5/index.m3u8?q=36.44.99.42
卫视电影台,http://free.cnlive.club/channel/5967d303/index.m3u8?q=36.44.99.42
龙祥时代,http://free.cnlive.club/channel/67548a4f/index.m3u8?q=36.44.99.42
美亚电影,http://free.cnlive.club/channel/5824ef5e/index.m3u8?q=36.44.99.42
華藝綜合,http://free.cnlive.club/channel/5af2eef0/index.m3u8?q=36.44.99.42
博斯运动一台,http://free.cnlive.club/channel/n3a1a5ced/index.m3u8?q=36.44.99.42
博斯运动二台,http://free.cnlive.club/channel/n3a1a4bf9/index.m3u8?q=36.44.99.42
博斯高球一台,http://free.cnlive.club/channel/n34996e5a/index.m3u8?q=36.44.99.42
博斯高球二台,http://free.cnlive.club/channel/n34995d66/index.m3u8?q=36.44.99.42
博斯网球台,http://free.cnlive.club/channel/4838e3b3/index.m3u8?q=36.44.99.42
博斯无限台,http://free.cnlive.club/channel/47dd89d5/index.m3u8?q=36.44.99.42
好消息2,http://free.cnlive.club/channel/n5e3decc0/index.m3u8?q=36.44.99.42
